,ticker,entry_date,entry_price,exit_date,exit_price,profit_percentage
12887,1120.SR,2022-01-13,87.64236419677735,2022-01-18,86.01721313781738,1.8542985163101402
12886,1120.SR,2022-02-20,97.50938442077637,2022-02-21,95.41990012207032,2.1428545684274125
12885,1120.SR,2022-04-12,100.06320195922852,2022-04-13,98.08980861053467,1.972146913205836
12884,1120.SR,2022-04-18,105.9834125656128,2022-04-19,102.26876956787109,3.504928656115903
12883,1120.SR,2022-04-20,104.82258710632324,2022-04-25,106.5638291152954,-1.6611324496370188
12882,1120.SR,2022-05-30,93.05181282348633,2022-05-31,91.84455862426758,1.2973999781270684
12881,1120.SR,2022-07-21,82.65081242980958,2022-07-25,81.0720901107788,1.9101110716503715
12880,1120.SR,2022-09-13,84.04380450897217,2022-09-14,82.18647919006348,2.209949120890181
12879,1120.SR,2022-10-05,78.75044683227539,2022-10-09,76.521645753479,2.83020753335322
12878,1120.SR,2022-10-24,81.81501871032715,2022-10-26,80.32915387115479,1.8161272375102573
12877,1120.SR,2023-03-05,69.74243087768555,2023-03-08,68.81376439819336,1.3315659746946458
12876,1120.SR,2023-03-23,69.42775144042969,2023-03-29,68.29424689178467,1.6326390026005513
12875,1120.SR,2023-07-26,71.883699609375,2023-07-30,70.84464167633057,1.445470862922753
12874,1120.SR,2023-11-08,68.11631716918946,2023-11-13,67.15692994537353,1.408454337648595
12873,1120.SR,2023-11-21,72.43354821624756,2023-11-30,73.29699900970459,-1.1920592249315674
12872,1120.SR,2023-12-18,80.20455951690674,2023-12-21,79.14923586273193,1.3157901003774681
12871,1120.SR,2024-01-07,85.19336085662842,2024-01-09,83.65833977050781,1.8018083459624148
12870,1120.SR,2024-01-28,87.78369795684814,2024-01-29,86.82431837310791,1.0928903726655856
12869,1120.SR,2024-06-09,79.51442384033203,2024-06-10,78.63957405395507,1.100240364105118
12868,1120.SR,2024-08-21,87.89547226409913,2024-08-27,86.81034467468261,1.2345659696281484
12867,1120.SR,2024-10-08,84.54143319854737,2024-10-09,82.86442130584717,1.9836568050149976
12866,1120.SR,2024-10-13,85.2319737991333,2024-10-14,83.85090023803711,1.6203702666219737
12865,1120.SR,2024-11-11,93.12382817687988,2024-11-12,92.13734924468994,1.0593195656821757
12864,1120.SR,2025-01-02,97.1684002029419,2025-01-05,95.98462395629883,1.2182728584299805
12863,1120.SR,2025-02-04,100.4237906112671,2025-02-06,98.54947376403808,1.866407188794884
12862,1120.SR,2025-04-14,97.23593847198487,2025-04-16,98.23733847198487,-1.0298661335885828
